probe,log2FC,p_value,p_adj,neg_log_padj,status,gene,mean_expr,nef_log_padj
209993_at,-0.6044514563247674,3.573705305800347e-08,2.3088685221556723e-07,6.636600797151264,Down,ABCB1,6.07186022740187,6.636600797151264
211224_s_at,-0.0009626325784699574,0.9724935861526282,0.9817015932652795,0.00802050416100607,NS,ABCB11,5.864283765224297,0.00802050416100607
207819_s_at,0.19989196459218928,0.0008724911671184429,0.0025242431416385696,2.5978688150435163,NS,ABCB4,6.161154882887847,2.5978688150435163
203192_at,0.45837608989514234,1.7207105981649392e-07,9.892310180317168e-07,6.004702274489454,NS,ABCB6,7.76645356395327,6.004702274489454
209620_s_at,0.057705317813863566,0.28368631470234085,0.39620069887259546,0.4020847627292131,NS,ABCB7,7.512358753822431,0.4020847627292131
206317_s_at,0.1930820132491231,0.0002430520744906642,0.0007865131245825545,3.1042940258872003,NS,ABCB8,6.88984759927103,3.1042940258872003
207321_s_at,0.05006856803553905,0.2891985438693008,0.4024110873635337,0.39533006196190484,NS,ABCB9,7.115980925785045,0.39533006196190484
202804_at,0.05427663044088682,0.3239156462682909,0.439761917126444,0.35678238274684443,NS,ABCC1,9.550486277962614,0.35678238274684443
213485_s_at,0.14476469988317753,0.05122068863203999,0.09531111522235884,1.020856448802965,NS,ABCC10,8.482634710514022,1.020856448802965
206155_at,0.25657950883567526,0.00924934038817338,0.021232414944850873,1.6730006069844385,NS,ABCC2,6.615082137261681,1.6730006069844385
208161_s_at,1.1787268244648104,4.1530752001355734e-17,1.1669984197304032e-15,14.932929732046173,Up,ABCC3,9.450816693140194,14.932929732046173
203196_at,-0.18140769273786006,0.04300817390450941,0.08204358694582511,1.0859553605327679,NS,ABCC4,7.6572464658972,1.0859553605327679
209380_s_at,0.10072794802533735,0.14320528820198544,0.22629908779553518,0.6453171966690624,NS,ABCC5,9.06175603196262,0.6453171966690624
210246_s_at,-0.06806859867910031,0.08638196091703892,0.14916686570942175,0.8263276355608321,NS,ABCC8,7.112181273850471,0.8263276355608321
208462_s_at,-0.07419919142962783,0.13279894394647146,0.21278197080313682,0.6720651729579195,NS,ABCC9,6.696559775644856,0.6720651729579195
205142_x_at,0.15876398372835965,0.0022843509980685966,0.0060525794637291954,2.2180595000386365,NS,ABCD1,7.841170674140185,2.2180595000386365
207583_at,0.04643262427973038,0.32867400265895375,0.44500199302767446,0.3516380439427021,NS,ABCD2,4.844164545588785,0.3516380439427021
202850_at,-0.04433254037895473,0.655755732682325,0.7524307410587151,0.12353346936908188,NS,ABCD3,9.305860187953268,0.12353346936908188
203982_s_at,-0.048508609905344,0.20242251729845542,0.3016303967474577,0.5205248946507546,NS,ABCD4,7.881202375934581,0.5205248946507546
201872_s_at,0.6081423366227972,5.47483569375583e-10,4.843023571415687e-09,8.314883417199413,Up,ABCE1,8.021195286542055,8.314883417199413
200045_at,0.2721310644465156,6.794448915179182e-06,2.890197663344818e-05,4.539072454418406,NS,ABCF1,9.56265943773832,4.539072454418406
209247_s_at,0.4159707416952827,1.725464464154138e-10,1.680442511134032e-09,8.77457634039434,NS,ABCF2,8.774794197869161,8.77457634039434
202394_s_at,0.11076580147959625,0.011557265966681114,0.025866869981474014,1.5872561198731272,NS,ABCF3,8.119342146588785,1.5872561198731272
211113_s_at,-0.45880263094158824,5.324673496530072e-11,5.649985691579981e-10,9.247952652016973,NS,ABCG1,8.199273807514016,9.247952652016973
