gene,probe,log2FC,fold_change,p_value,p_adj,status
KLF11,218486_at,-0.7494947590763505,0.5948118278927966,2.4599266884137257e-15,5.146905765063197e-14,Down
CEBPA,204039_at,-0.7494936143800075,0.5948122998422904,6.340982264174591e-10,5.557256905486455e-09,Down
NFIB,209289_at,-0.7492080577494775,0.5949300443427795,6.720480483158373e-07,3.4544974995667362e-06,Down
APOL3,221087_s_at,-0.7489936449060526,0.595018469213116,1.2277550717777607e-15,2.7148695319730283e-14,Down
HLA-DPB1,201137_s_at,-0.7481922248465818,0.5953490950184832,2.6060327336726094e-07,1.4484965678330445e-06,Down
MEF2A,212535_at,-0.747490270727651,0.5956388370791216,2.4489545413346654e-20,1.111406396019559e-18,Down
TARS,201263_at,0.7473111809915522,1.67866131272101,2.0212646331930052e-10,1.948089957674729e-09,Up
MMRN1,205612_at,-0.7472056394278699,0.5957563630820757,3.2010162802617127e-11,3.5311012758946406e-10,Down
SACM1L,202797_at,-0.7459716211527088,0.5962661650335357,6.90612068218548e-15,1.3534660260434393e-13,Down
HSPB2,205824_at,-0.7459542451593899,0.596273346578491,3.6015112884638105e-20,1.6018458291584648e-18,Down
ZNF146,200050_at,0.7447888788113985,1.6757290284628255,4.459426355845894e-12,5.642782367252359e-11,Up
CEBPD,203973_s_at,-0.7443683189299826,0.5969291785240382,5.705263597632531e-11,6.010893084919419e-10,Down
AIM2,206513_at,0.7443504172420843,1.6752198209594173,2.1889180286774588e-08,1.4663848472768818e-07,Up
SERPINB6,211474_s_at,-0.7440278843406052,0.5970700532843967,1.3804387931060925e-17,4.181134649279986e-16,Down
COLGALT2,209883_at,-0.7438539872357497,0.5971420262298472,1.216916284700348e-21,6.549890234777259e-20,Down
SHFM1,202276_at,0.7433705483648829,1.674082409102995,4.2506719002279033e-16,1.0087084340018996e-14,Up
MRPL17,222216_s_at,0.7433561321020417,1.6740656807641825,3.128460020594069e-17,8.89176972434919e-16,Up
PRKCZ,202178_at,-0.7425471701213944,0.5976831724413717,4.1098435197827823e-10,3.7167062967256388e-09,Down
SERPINH1,207714_s_at,0.7421860640950051,1.672708514804858,4.254636797775023e-12,5.395810696613722e-11,Up
CALU,200757_s_at,0.7418645723384945,1.6723358081204742,3.1584114040758423e-16,7.64157234712508e-15,Up
SEC24D,202375_at,0.7417689723099894,1.6722249946433005,2.6792288001494534e-10,2.520103645155351e-09,Up
FGFR3,204379_s_at,-0.7417029021776891,0.5980330401579178,7.000306274758077e-05,0.0002508246096163921,Down
MAP4,212566_at,-0.7415802088296992,0.598083901770367,2.3716569401743083e-17,6.88269389780076e-16,Down
HMGB2,208808_s_at,0.7413889690513731,1.6717845916141572,4.2750738512594526e-07,2.2822585200674264e-06,Up
IL20RA,219115_s_at,-0.7410043786069656,0.5983226656918993,1.1857790953359531e-12,1.658676433231076e-11,Down
