gene,probe,log2FC,fold_change,p_value,p_adj,status
DDIT4,202887_s_at,0.6811709349363078,1.6034406281113276,3.3550783627052485e-05,0.00012720981990158422,Up
RANBP1,202483_s_at,0.6801329929176578,1.6022874531027385,1.3541213482489527e-13,2.1914199718439388e-12,Up
ARGLU1,218067_s_at,-0.6801274956270209,0.6241101173839406,3.905656953754621e-10,3.5464447392222588e-09,Down
TMEM140,218999_at,-0.679745777308586,0.6242752706404465,4.515106297474023e-15,9.080335164856828e-14,Down
FILIP1L,204135_at,-0.6796286944454604,0.6243259361657209,2.6996600743640307e-07,1.497921450125839e-06,Down
TNS3,217853_at,-0.6791043807878303,0.6245528740116049,1.2112257437982022e-11,1.4295414856491175e-10,Down
CAND1,207483_s_at,0.6787568651185776,1.6007598253149973,3.9757708100241986e-07,2.1347494207173304e-06,Up
HEBP2,203430_at,0.6781496308216077,1.6000862028917322,4.543969648564061e-11,4.877325418061319e-10,Up
RPP40,213427_at,0.6779658189795876,1.599882351039179,4.893088263421456e-14,8.491642194222766e-13,Up
HSPA5,211936_at,0.6773707147874717,1.5992225439929566,2.925223176079979e-17,8.346062488167757e-16,Up
EHF,219850_s_at,0.6772959739187199,1.5991396961402984,2.4831755248566154e-05,9.638146702731225e-05,Up
SMYD3,218788_s_at,0.677253357780085,1.5990924594405607,9.096821748221704e-11,9.209653749006099e-10,Up
FCN1,205237_at,-0.6770441525992252,0.6254453984765995,5.071936949767025e-07,2.6699260820141412e-06,Down
ALDH3B1,205640_at,-0.6764648928817714,0.6256965728809423,1.6732299959869663e-12,2.2624140777049497e-11,Down
QKI,212263_at,-0.6764118189697346,0.6257195914501953,2.936188586090962e-10,2.728402429685776e-09,Down
PURA,204020_at,-0.6756613230397619,0.6260451780492274,4.2678869796421043e-11,4.6009349572987426e-10,Down
CHN1,212624_s_at,-0.6756146696474286,0.6260654232172862,1.3233648177338724e-14,2.4801125511828327e-13,Down
ZDHHC13,219296_at,0.6743544138634752,1.5958824775045835,5.080939349209956e-13,7.547904767896362e-12,Up
SH3GL3,205637_s_at,-0.6739710781973942,0.626779075175845,3.0418682356401846e-23,2.005383132981368e-21,Down
KNTC1,206316_s_at,0.6738237122709343,1.595295533214462,7.935892607606385e-18,2.4697694828951544e-16,Up
INPP1,202794_at,-0.673788377353624,0.6268584546107486,1.3056519912986001e-12,1.8142803588748015e-11,Down
FAM134B,218510_x_at,-0.6736303823585459,0.6269271080121894,2.3721812660613455e-08,1.583562467095415e-07,Down
KLF10,202393_s_at,-0.673447259004222,0.6270066898213531,8.460694036044803e-11,8.604730497726442e-10,Down
CD44,212063_at,-0.6732738666256193,0.6270820520508983,1.8298488734677043e-09,1.4919327642693324e-08,Down
SPRY4,221489_s_at,-0.6731824866263221,0.6271217725536118,2.4281020894711647e-12,3.201502891105678e-11,Down
ADD1,214736_s_at,-0.6724086805566483,0.6274582267478672,4.1072165902762235e-13,6.1880397079868216e-12,Down
NUP107,218768_at,0.6711618837206164,1.5923548644696885,9.060515854870077e-08,5.456634453893782e-07,Up
DAAM2,212793_at,-0.671133484572132,0.628013081315572,3.4943030115966934e-15,7.130362088590579e-14,Down
PCCB,212694_s_at,0.6709675901034506,1.5921404299942319,5.907845107346467e-14,1.008770210934876e-12,Up
GJA4,204904_at,-0.6701381932610815,0.6284464865764093,1.1755213308373188e-26,1.378639042897262e-24,Down
DHCR24,200862_at,-0.6697688474539074,0.6286073963894226,7.053070758736327e-10,6.136804986994204e-09,Down
SPTAN1,208611_s_at,-0.6696721138993702,0.6286495462996742,1.462987852405083e-19,6.027190815549128e-18,Down
ATP10A,214255_at,-0.6691514307160471,0.628876473205667,8.409806095294023e-15,1.622473672912872e-13,Down
SRM,201516_at,0.6689381244528452,1.5899023113363275,2.5804248513658567e-19,1.0231246790566796e-17,Up
SLMO2,217851_s_at,0.6688189375003519,1.5897709684131243,2.8966107180969375e-06,1.326452458515291e-05,Up
MMP13,205959_at,0.6687794871833193,1.5897274969174515,8.561337563065775e-09,6.165878633412886e-08,Up
DCHS1,222101_s_at,-0.668727799468332,0.6290611628564179,2.2011339261299123e-15,4.649086945587946e-14,Down
CHPT1,221675_s_at,-0.6684679517406735,0.6291744749775522,1.759431671673231e-07,1.0094082373814265e-06,Down
TNFAIP3,202644_s_at,-0.6680690053747345,0.6293484837401118,1.7946300088802894e-07,1.0280138942899611e-06,Down
PITX1,208502_s_at,0.667702587513368,1.5885412876531262,1.389203967553184e-08,9.649511224746758e-08,Up
ENPP2,209392_at,-0.6675822693261857,0.6295608489770153,6.155100866015676e-05,0.000222906082557171,Down
C2,203052_at,-0.6670700869306856,0.6297843939529907,8.265990681426952e-11,8.423841467744895e-10,Down
PMM1,203467_at,-0.6666595982909911,0.6299636113991349,2.8451451155041343e-10,2.654873057319038e-09,Down
ITGB4,204990_s_at,0.6663497807997931,1.5870524199261753,1.4986201206350757e-06,7.234348385639383e-06,Up
REEP1,204365_s_at,-0.6663398530573561,0.6301032460269167,4.61043239606094e-28,6.381010253504715e-26,Down
SIK2,213221_s_at,-0.6661199078719209,0.6301993153527874,3.092493859806445e-19,1.2134504331307326e-17,Down
TXNIP,201010_s_at,-0.6659346426776906,0.6302802482541405,1.7549240935497336e-11,2.0261644340191043e-10,Down
FLAD1,212541_at,0.6656595311671403,1.5862932849034659,1.6041240762115638e-14,2.9722014576468507e-13,Up
DENR,221509_at,0.6655357122385652,1.5861571475348164,8.85883949047149e-11,8.985048719443616e-10,Up
KIT,205051_s_at,-0.6652403209060544,0.6305836544546928,0.00022794337569375636,0.0007411735357630196,Down
NEK3,213116_at,-0.6650940235756497,0.6306476023995159,9.802615106487016e-14,1.6180123882803717e-12,Down
LAMB1,201505_at,-0.6650886282276556,0.6306499608810678,3.946291481821876e-05,0.00014731984099419814,Down
FAM184A,220150_s_at,-0.6648377067339908,0.6307596565463192,4.190324005437859e-17,1.1759822394606022e-15,Down
CBX3,200037_s_at,0.6646854739282162,1.5852226366247861,4.462705205228141e-16,1.0523011649534248e-14,Up
SNRNP25,218493_at,0.664167896730472,1.5846540286315853,7.567711002645356e-16,1.7295518386866304e-14,Up
UAP1,209340_at,0.6638525445408217,1.5843076841226167,3.0837671918788284e-09,2.3951057628663624e-08,Up
GSN,200696_s_at,-0.6635995115510163,0.6313012393416078,2.379486595921713e-09,1.8895972849937112e-08,Down
TMEM243,204215_at,-0.6635582757220302,0.6313192837662733,3.337669861180531e-08,2.165792006892422e-07,Down
SLC39A6,202088_at,0.6635496655619306,1.5839751099379202,8.521976327513678e-08,5.158793765443827e-07,Up
YIF1A,202418_at,0.6627970568810735,1.5831490153758503,2.347774878867322e-12,3.110313176325834e-11,Up
STARD8,206868_at,-0.6626624369405327,0.6317114220283624,1.811510663095975e-23,1.2497180218503905e-21,Down
OLFML3,218162_at,-0.6621014348296974,0.6319571152233097,2.0502262739417112e-09,1.6498805367368418e-08,Down
PPM1F,37384_at,-0.661419617092891,0.6322558487676404,1.2964953387163338e-28,1.9006451074089518e-26,Down
PLEKHA1,219024_at,-0.6614115701228016,0.632259375332818,8.476797987102541e-09,6.110918458317888e-08,Down
RBMS3,206767_at,-0.6610911660809311,0.6323998076142964,2.6566024594267186e-18,8.875123328846412e-17,Down
ELMO3,219411_at,0.6610883445823363,1.581275060883668,3.634869971593114e-12,4.662971075245213e-11,Up
SLC25A13,203775_at,0.6600563835548909,1.5801443778839186,7.306096276287561e-12,8.91575812291981e-11,Up
EHD2,221870_at,-0.6599571933838853,0.6328970755762217,2.2924460071887986e-18,7.763309176016413e-17,Down
ABLIM3,205730_s_at,-0.6597556049137943,0.6329855167669991,6.67167927764457e-14,1.1288157125569777e-12,Down
CD163,215049_x_at,-0.6594281245981684,0.6331292157604437,4.357922637934442e-05,0.00016154980891880413,Down
PHACTR1,213638_at,-0.6586031837885278,0.6334913459867324,9.87980195255232e-12,1.1848849672159492e-10,Down
SFRP4,204051_s_at,0.6584786572392662,1.5784172819930966,4.7346550536330225e-05,0.00017441282618631945,Up
ANXA1,201012_at,-0.6579051742156938,0.6337979180603612,1.9408046537996575e-05,7.681518667960528e-05,Down
DEPTOR,218858_at,0.657674156084445,1.5775373423654875,9.079081961960353e-07,4.561650132093857e-06,Up
TGFB1I1,209651_at,-0.657308578022521,0.6340600660592774,1.4187597134261704e-09,1.1743767717041366e-08,Down
SLC50A1,219125_s_at,0.6570011812276562,1.576801639141422,1.6060450079629722e-18,5.5398608223589644e-17,Up
CCNE1,213523_at,0.6565332105657955,1.576290250925637,2.1249613843118315e-13,3.3334403821153945e-12,Up
ANGPTL4,221009_s_at,0.6562626788775505,1.575994695405693,5.145198875656983e-06,2.241894144432236e-05,Up
PDCD6,203415_at,0.6562494125295562,1.5759802033631298,6.081986242902137e-10,5.350371079770561e-09,Up
TMEM14A,218477_at,0.6562164253092853,1.5759441689897533,4.622520632687297e-09,3.4952028251839515e-08,Up
ARHGAP25,204882_at,-0.6560679048233631,0.6346055726684525,5.446254587875615e-14,9.349683434640395e-13,Down
MDH2,209036_s_at,0.6560586053698128,1.575771782031307,1.1075503291577175e-10,1.110190912488593e-09,Up
SRPRB,218140_x_at,0.6557098008606612,1.5753908492290352,2.5895323184075774e-15,5.3726767831541944e-14,Up
AK2,208967_s_at,0.6556368580066856,1.5753111992708382,7.263414235462205e-22,4.016145394759412e-20,Up
PTPRC,212587_s_at,-0.6550649668613637,0.6350468934498521,3.6661180259151695e-05,0.00013776072170567911,Down
THEMIS2,210785_s_at,-0.6549849254957802,0.6350821271126725,5.96109246247656e-11,6.242059367545357e-10,Down
TFF1,205009_at,0.6544321744560184,1.5739963272274782,0.0002996684420961938,0.0009536577970907579,Up
CD37,204192_at,-0.6536284003793078,0.6356795576043943,1.8492067289511485e-07,1.0571029641154038e-06,Down
BTG1,200920_s_at,-0.6536184768937403,0.6356839301006127,3.189859661146086e-12,4.1229491200300596e-11,Down
HPS5,204544_at,-0.6535473546066122,0.6357152689547394,8.509575290302794e-15,1.6403016106731589e-13,Down
THY1,208851_s_at,0.6532100039602415,1.572663490262564,9.656865870175973e-08,5.78606997002235e-07,Up
ARHGEF3,218501_at,-0.652643172146373,0.6361138166316133,3.4777881975235835e-13,5.304281615702807e-12,Down
TIMELESS,203046_s_at,0.6525749385735429,1.5719713659181536,2.0089828160732027e-12,2.6870446632988702e-11,Up
PSMB2,200039_s_at,0.6524956144071083,1.571884936085994,6.921159857576775e-17,1.8693843043197972e-15,Up
ATP6V1C1,202874_s_at,0.6522142820422232,1.571578440964735,1.175853930657418e-08,8.278531796789651e-08,Up
CYP3A5,214235_at,-0.6519069331646747,0.6364385223356298,1.259155817656744e-05,5.140020140112659e-05,Down
TRHDE,219937_at,-0.6515632312125259,0.6365901629907295,4.397065223337809e-14,7.702814809090912e-13,Down
BTN3A3,204821_at,-0.6511923603085874,0.6367538310640626,1.1673818033904615e-10,1.1664918710739754e-09,Down
PPM1D,204566_at,-0.6508072447895792,0.6369238299261389,5.73535637152631e-13,8.40242906158585e-12,Down
GLRX3,209080_x_at,0.650756037711826,1.5699907266843791,2.1435988322266906e-14,3.892894276976964e-13,Up
KAT6B,212462_at,-0.6505658918462363,0.6370303918091663,1.4718750475827377e-13,2.3732121335228758e-12,Down
NEK7,212530_at,-0.6496581707343427,0.637431327467062,2.9329572874166625e-11,3.2612595360393017e-10,Down
TMED9,205812_s_at,0.6493668794074594,1.5684797240714723,6.6966369237467235e-12,8.21702426056433e-11,Up
GALNT6,219956_at,0.6490632462966186,1.5681496527449863,5.7809492085865175e-08,3.6113510292944595e-07,Up
MZB1,221286_s_at,0.6481053337174494,1.5671087871070573,1.0400754636235403e-05,4.310210443727608e-05,Up
COBL,213050_at,-0.6479088981189314,0.6382046838609026,3.59511564335455e-07,1.9453609004582187e-06,Down
TNFRSF12A,218368_s_at,0.6479001364999988,1.5668859101399681,4.62744584549161e-08,2.935194300458e-07,Up
FASTKD3,219200_at,0.6474676255211111,1.566416237918657,9.101452027226898e-08,5.476847300099837e-07,Up
NUDT1,204766_s_at,0.6473729552941583,1.5663134524296052,8.188413401080117e-15,1.585251223425441e-13,Up
SCRN1,201462_at,0.6468355369707943,1.5657300936725294,1.6139518946492529e-12,2.1875723885930233e-11,Up
ITPKB,203723_at,-0.6466227020573525,0.6387739118284076,1.69808573288651e-13,2.7008168726559673e-12,Down
FLT1,222033_s_at,-0.6459231944634052,0.6390837039408667,3.6281584140777255e-14,6.421465761786652e-13,Down
LINC01140,215039_at,-0.6452950959581312,0.6393619990065782,1.8581838916213557e-17,5.491500219761097e-16,Down
STXBP1,202260_s_at,-0.645232518419073,0.6393897322191165,9.95496354293533e-09,7.073547596531503e-08,Down
CAST,212586_at,-0.6450588652019782,0.639466698427089,1.955022834755276e-09,1.582410963561635e-08,Down
ACP6,218795_at,0.6448625451136536,1.5635903058000789,1.2589055378682217e-14,2.367273594963509e-13,Up
RTCA,203594_at,0.6448535295197049,1.5635805347460074,3.2331359112570816e-07,1.7670828430351128e-06,Up
GLB1L2,213713_s_at,0.644353589048908,1.5630387974137998,2.0907427636222317e-11,2.384238536427543e-10,Up
MTX1,210386_s_at,0.6443077627684737,1.5629891492798358,8.355699824362262e-17,2.224114432159059e-15,Up
CHCHD2,217720_at,0.6442596153835289,1.562936988163048,8.558108896722211e-13,1.2224380804209039e-11,Up
PTRH2,218732_at,0.6435290322146425,1.562145714640042,4.087641853423742e-19,1.5650330484508804e-17,Up
RNF38,218528_s_at,-0.6434398330024607,0.6401847284293022,2.9329821434379394e-11,3.2612595360393017e-10,Down
EIF6,210213_s_at,0.6433533070014086,1.5619554515118865,3.823855586350801e-12,4.891330311748272e-11,Up
FCER1G,204232_at,-0.6430433903356843,0.640360670958901,1.3055809236400244e-06,6.378185399632093e-06,Down
ARHGEF26,222121_at,-0.6428953498223082,0.6404263842134811,3.128672263975902e-22,1.8250315198475137e-20,Down
RGL1,209568_s_at,-0.6424076950661508,0.6406428955008862,4.74879443873258e-14,8.273446949044416e-13,Down
IGLL3P,215946_x_at,0.6414633447061924,1.559910595146588,1.221937357035567e-06,6.005388206180753e-06,Up
JUND,203752_s_at,-0.6408562199120347,0.6413322138537969,4.4244738909114447e-16,1.0454989577007393e-14,Down
LEPREL4,204078_at,0.6407198197850077,1.559106867714182,6.740101491435302e-15,1.323257106023373e-13,Up
HLA-DMA,217478_s_at,-0.6405401247061953,0.6414727454576878,4.151918491498824e-07,2.22300032394718e-06,Down
TSTA3,201644_at,0.6401850825066848,1.5585290892855772,4.849413646270098e-20,2.1146670113470958e-18,Up
STT3A,202223_at,0.639575026249469,1.5578701909048902,1.5751478703333018e-09,1.2970813006148176e-08,Up
MICAL1,218376_s_at,-0.6387861030703696,0.642253119202625,1.2207835289340013e-10,1.2165795784989424e-09,Down
CORO2B,209789_at,-0.6383266081949337,0.6424577078439261,5.203829104896112e-22,2.943069135644672e-20,Down
HSPB11,215691_x_at,0.6371002938617156,1.5552001830472424,1.6372274104691663e-11,1.902103148461128e-10,Up
CBX1,201518_at,0.6370869819208327,1.555185833072509,1.0778688392613192e-09,9.115047948865266e-09,Up
PTN,209466_x_at,-0.636690243257215,0.6431868236128433,6.327852518745786e-10,5.551320380913872e-09,Down
MTCH2,217772_s_at,0.6366143481425102,1.5546764302199454,1.657344599787132e-11,1.924471585047247e-10,Up
GAS1,204457_s_at,-0.6365184779567237,0.6432634051160651,3.7276398792250927e-06,1.6685726242620834e-05,Down
LPHN3,209866_s_at,-0.6364656196706564,0.6432869738003795,2.5197077615984662e-11,2.838556524352812e-10,Down
PPM1H,212686_at,0.6362113554352602,1.5542422180340625,2.001442118062688e-06,9.462791155695073e-06,Up
SLCO1B3,206354_at,0.635821957324068,1.5538227688110144,0.00020766954876421198,0.0006808151471403465,Up
FNBP1,212288_at,-0.6355552735886683,0.643693018432629,2.399262762298413e-13,3.743891605903049e-12,Down
PDE4B,203708_at,-0.6354391149078111,0.6437448475024856,1.5085913734729372e-06,7.280905690945951e-06,Down
DAP3,208822_s_at,0.6353930917660158,1.5533609372989792,9.332624408373657e-17,2.463967650376661e-15,Up
BZW1,200777_s_at,0.6347857827589749,1.5527071805925514,5.2081840290623115e-11,5.536925797690624e-10,Up
AHCYL2,212814_at,-0.6346481254313829,0.6440978916315497,9.457886797256457e-09,6.750483392160975e-08,Down
IGLV1-44,215379_x_at,0.6337002025897274,1.551539259402972,1.1305188390054075e-05,4.651283472961133e-05,Up
CRISPLD2,221541_at,-0.633687035531322,0.6445271176288889,6.379102619331334e-07,3.292692695542278e-06,Down
ZMIZ1,212124_at,-0.6329246406080227,0.6448678092149884,6.891841817943503e-17,1.8637246508402317e-15,Down
HPGDS,206726_at,-0.6328570017614377,0.6448980436970402,5.154517906298042e-10,4.5888183182596586e-09,Down
ROBO4,220758_s_at,-0.6318548227843062,0.6453461826142506,6.926626958962628e-19,2.534417545592188e-17,Down
HIST1H4J,214463_x_at,0.6314019514722045,1.549069584235683,2.2174345154744126e-16,5.526967931579009e-15,Up
KIF18B,222039_at,0.6313929406270224,1.5490599090221326,7.41278334912286e-13,1.0677378886134758e-11,Up
ETV5,203349_s_at,-0.6313197307614402,0.6455855843114388,8.200130120495482e-08,4.974775373672769e-07,Down
PDLIM3,209621_s_at,-0.63127907359641,0.6456037780729408,2.0536145671933796e-05,8.10067151721899e-05,Down
CASK,211208_s_at,0.6312427015707271,1.5488986017640183,2.2092688208653661e-10,2.111932095038308e-09,Up
STX12,212112_s_at,-0.6311537151453201,0.6456598782213477,1.461252460830569e-20,6.898535717094824e-19,Down
CTSO,203758_at,-0.6309582239299836,0.6457473737646343,3.038259257276341e-11,3.366560468915401e-10,Down
ST6GALNAC2,204542_at,-0.6306933770432783,0.645865929575655,3.4379901103675e-11,3.775689188236521e-10,Down
SULT1A2,207122_x_at,-0.6306387321323026,0.6458903934808001,7.2742039348377734e-12,8.881703357807677e-11,Down
PFDN2,218336_at,0.6306199604876834,1.5482301620605121,2.8203180680508267e-10,2.6339123013569393e-09,Up
GMPS,214431_at,0.6304950588997187,1.5480961295520896,1.0911084033097649e-13,1.793006530306157e-12,Up
PTX3,206157_at,-0.6304456035992256,0.6459768623535022,2.9753810624378194e-05,0.00011374235068502646,Down
UBFD1,205687_at,0.6302150566062616,1.547795699875254,7.786326281112298e-16,1.7740563243560872e-14,Up
PRPS2,203401_at,0.6298550205795221,1.5474094833365055,3.414987240138491e-10,3.1379860070930305e-09,Up
SLBP,206052_s_at,0.629218864938073,1.5467273043294358,1.5368689137753104e-08,1.0586105102211821e-07,Up
HSD17B11,217989_at,-0.6288932644271625,0.6466723072296556,3.2394161848275433e-06,1.467630152855013e-05,Down
ALG8,203545_at,0.6287764104831037,1.5462530173620062,4.0250236838734003e-16,9.5719960243064e-15,Up
DUS4L,205761_s_at,0.6282720642645998,1.5457125631813884,9.593968464924317e-18,2.9650818211360414e-16,Up
COL6A3,201438_at,0.628131918532727,1.545562417453441,6.007598653065492e-07,3.1153670185305648e-06,Up
QPRT,204044_at,0.628053857620336,1.5454787928861489,1.4708931150856058e-07,8.542067053284481e-07,Up
HLA-DRA,210982_s_at,-0.6276765768599528,0.6472179041838415,1.438010502233102e-06,6.971973024643214e-06,Down
DTYMK,203270_at,0.6276058337403256,1.5449989243873987,1.2577678950055504e-18,4.434626899431753e-17,Up
CDC6,203968_s_at,0.6274428415000006,1.5448243839584008,3.032498335305014e-11,3.3618487763980907e-10,Up
U2SURP,212058_at,0.6271969465650944,1.5445611043947405,2.8755066363671735e-10,2.679837489676693e-09,Up
ATXN7,209964_s_at,-0.6267382811178752,0.6476389767670054,1.0963031506348104e-10,1.10040194169349e-09,Down
NOP16,214011_s_at,0.6266497195080909,1.543975349732087,1.947028486966987e-11,2.2283326027265216e-10,Up
FGFR1,211535_s_at,-0.626362387010909,0.647807741048631,1.3228401887982684e-08,9.228819012834005e-08,Down
RIT1,209882_at,0.6249864366030975,1.5421963264884797,1.7090521761227312e-08,1.1685427935115931e-07,Up
SSBP1,202591_s_at,0.6249812897818448,1.5421908247057425,2.402238074695886e-07,1.3476603982489533e-06,Up
LCAT,204428_s_at,-0.6246040858782553,0.6485977454808158,5.538884863486441e-13,8.167771044086694e-12,Down
B3GNT1,203188_at,-0.6233003689869854,0.649184127212756,2.8927405879755526e-18,9.577851191955311e-17,Down
INTS8,218905_at,0.6231473772413807,1.5402316814469008,1.659245284817736e-13,2.648493028767451e-12,Up
RAPGEF4,205651_x_at,-0.6224340553286405,0.6495740682252008,1.0310566178801603e-12,1.4587323565856263e-11,Down
POLR2K,202635_s_at,0.6207226172938078,1.5376451643622293,9.526005906920926e-08,5.7168863351446e-07,Up
NR3C1,201865_x_at,-0.6206689937195637,0.6503692743279054,2.722707483487122e-15,5.6228073081133956e-14,Down
SH3BGRL,201312_s_at,-0.6205879123015485,0.6504058269903589,7.892588311921405e-11,8.063757237714107e-10,Down
TRIM2,202341_s_at,0.6202527857779749,1.5371444926915956,5.050236314810177e-09,3.795427177164087e-08,Up
KANSL1L,215046_at,-0.6199782759194195,0.6506807255879374,2.958353108671207e-18,9.78056117515141e-17,Down
CASP1,209970_x_at,-0.6193088831981033,0.6509827034781682,6.783164618467548e-13,9.827650012569074e-12,Down
MSMO1,209146_at,-0.6187828470112624,0.6512201083955791,9.086456339437366e-07,4.5643261183878e-06,Down
ZNHIT6,218932_at,0.6184989450559497,1.5352769680045868,9.978260788385369e-09,7.087841413694332e-08,Up
COL4A2,211964_at,-0.6183698935341315,0.6514065387167521,1.1626874086834824e-07,6.874015263383933e-07,Down
MINK1,214246_x_at,-0.6179025893969108,0.6516175703396797,1.3876185147941584e-16,3.558147682987138e-15,Down
MYO1F,213733_at,-0.6175448578768492,0.651779165853658,5.234385169222426e-14,9.02071188907837e-13,Down
C1orf112,220840_s_at,0.6174184647927543,1.5341275806477401,1.823155721566267e-15,3.902534000351693e-14,Up
IFNGR1,202727_s_at,-0.6172236422480637,0.6519243004507419,3.6779604714092124e-10,3.3588521796889954e-09,Down
IARS,204744_s_at,0.617210325360313,1.5339062660925622,1.2020254152762932e-13,1.962251452644809e-12,Up
HIST1H2AC,215071_s_at,0.6159074786935239,1.5325216750884416,3.355753061941398e-05,0.00012721375549377368,Up
ENO2,201313_at,0.6155164970510221,1.532106405998472,1.3010828193390642e-07,7.631489461261482e-07,Up
ST6GALNAC5,220979_s_at,-0.6153593813377913,0.6527672662475213,4.6197261634744133e-07,2.454491132587038e-06,Down
CDK16,208824_x_at,0.6142322595499579,1.5307431844121673,2.6718819190558434e-12,3.493987371028249e-11,Up
NR2F2,209121_x_at,-0.6138528533198446,0.6534492716531197,5.670003844116961e-11,5.981228201000737e-10,Down
RIN3,60471_at,-0.6138462021755791,0.6534522842062035,1.1542419010512832e-13,1.889784884726359e-12,Down
SNRPD2,200826_at,0.6136795942329343,1.5301569020558714,1.7347180952067893e-14,3.2025454279612996e-13,Up
HELLS,220085_at,0.6134206478603073,1.5298822819794804,8.742237708322608e-10,7.498201803485476e-09,Up
ARNTL2,220658_s_at,0.6132163765179479,1.5296656811211293,1.4103822716410842e-10,1.397400985281382e-09,Up
AIMP2,209971_x_at,0.612629021847992,1.5290430454362318,1.2469052617773242e-15,2.7536957332194367e-14,Up
PTK6,206482_at,0.6124508806773408,1.5288542538383916,1.5966251953756256e-08,1.0967200748629798e-07,Up
STAC,205743_at,-0.6121863556298397,0.65420452544138,1.6115734773478657e-12,2.1856781372941264e-11,Down
BACE2,217867_x_at,0.6121577713891639,1.528543671317126,4.592560854991552e-05,0.0001694866404964835,Up
RRAD,204803_s_at,-0.6121535562779723,0.6542193988052805,7.368064468763618e-06,3.1160102592040176e-05,Down
TFRC,208691_at,-0.6118910847790282,0.6543384326706507,1.124491829840137e-07,6.660566572123278e-07,Down
NFYA,204108_at,0.6115106042241383,1.5278581477618343,6.590711581524043e-13,9.598746808568644e-12,Up
SLC35B1,202433_at,0.6114654313757892,1.527810309083568,2.3366959395058337e-15,4.907501943450376e-14,Up
BICD2,213154_s_at,-0.6110382553532752,0.6547253502277547,4.965410455893568e-14,8.610446785111003e-13,Down
PTS,209694_at,0.6105588105221642,1.526850501562903,2.3438957388656363e-10,2.229151888567775e-09,Up
PSMB5,208799_at,0.610378670842012,1.5266598658552089,1.0050167853266238e-12,1.4236992388705121e-11,Up
HOXC6,206858_s_at,0.6103271892920494,1.5266053890519697,5.361081927026614e-05,0.00019606267615285416,Up
CDCA8,221520_s_at,0.6103032059363134,1.526580010981934,3.326200772974061e-14,5.905795364476574e-13,Up
ICT1,204868_at,0.6102690349088684,1.5265438535209306,4.572131559591738e-16,1.0746920626833619e-14,Up
CIRBP,200811_at,-0.6101220933237119,0.6551412558675319,1.1112121044737622e-13,1.8233534111921094e-12,Down
TXNRD1,201266_at,0.6096483392329279,1.5258872245424084,0.00011144564269885684,0.0003842400210828759,Up
ZNF593,204175_at,0.6093217233831769,1.5255418136774062,2.633351255192359e-14,4.728361484242654e-13,Up
SLC7A1,212295_s_at,0.6091588299627055,1.5253695758249224,2.8090022705668226e-11,3.134351406862319e-10,Up
RAPGEF2,203097_s_at,-0.6084806847589661,0.6558870589691843,5.4274449069601355e-11,5.75082048795971e-10,Down
BEAN1,214068_at,0.6084802257037287,1.5246522524454784,1.7064640532527866e-08,1.1671313228554895e-07,Up
AURKB,209464_at,0.6083158519342025,1.5244785507589977,2.132984786123511e-11,2.4274412660464855e-10,Up
ABCA6,217504_at,-0.6082536586600984,0.6559902791180041,6.758100713575372e-19,2.4809021120362442e-17,Down
ABCE1,201872_s_at,0.6081423366227972,1.5242952102355634,5.47483569375583e-10,4.843023571415687e-09,Up
DDOST,208675_s_at,0.6081318054581271,1.5242840834590647,1.5822336117303425e-14,2.938075964182269e-13,Up
RCN3,61734_at,0.607916837770234,1.524056975577778,5.0873177839529865e-08,3.204995820747085e-07,Up
PCF11,203378_at,-0.6076020918726259,0.6562866120225569,5.1595597307422676e-11,5.490471321878221e-10,Down
MITF,207233_s_at,-0.6072403063930327,0.656451210037586,3.999717215044851e-14,7.04467708087911e-13,Down
STAP2,221610_s_at,0.6071262305457452,1.5232220102342224,6.745476385512475e-13,9.779404703863012e-12,Up
MT1X,208581_x_at,-0.6060921566924726,0.6569738459593917,1.0274964693545543e-05,4.2636319975097826e-05,Down
PDGFRA,203131_at,-0.6059752622543986,0.6570270794548179,1.0619554217646891e-05,4.395978573877497e-05,Down
DDX39A,201584_s_at,0.6059217505260399,1.5219508304193232,5.8560100745701365e-09,4.355456358199144e-08,Up
GIPC2,219970_at,-0.6056837673441269,0.6571598444492565,1.4052647168976287e-16,3.599254446739065e-15,Down
EVL,217838_s_at,-0.6049655305520769,0.6574870888598195,1.3390915477712942e-08,9.330511869602172e-08,Down
NOL11,221970_s_at,0.6047488553061271,1.5207140039444569,1.2230465698824948e-12,1.706521397413377e-11,Up
PPP2R5A,202187_s_at,-0.6046186553553881,0.6576451911451854,9.016369587158788e-15,1.727530210753734e-13,Down
ABCB1,209993_at,-0.6044514563247674,0.6577214123889488,3.573705305800347e-08,2.3088685221556723e-07,Down
C5orf28,219029_at,0.6043220047339881,1.5202641364350995,6.155190313705535e-10,5.410497268650904e-09,Up
CIAO1,203536_s_at,0.6040551863680488,1.519982998097757,1.254068000627406e-15,2.7656924576395938e-14,Up
PPP1R12B,201957_at,-0.6040541987748043,0.6579025461463699,2.8504955857890184e-12,3.712308190422951e-11,Down
RCN1,201063_at,0.6040515161055584,1.5199791312171416,6.05588973133058e-10,5.3316235038814426e-09,Up
TMEM70,219449_s_at,0.6039762301322984,1.5198998143003755,3.4948275842598685e-08,2.2618426680238936e-07,Up
ITGA2,205032_at,0.6039394364581279,1.51986105213384,3.6239900422938996e-08,2.3386437912665788e-07,Up
